date,max_value,max_time,file_date,total_precip
1950-04-04,2286.66563930192,1950-04-03 22:00:00,1950-04-04,2433.3083629608154
1950-05-25,5434.930016198581,1950-05-24 15:00:00,1950-05-25,1945.7098245620728
1950-05-26,5434.65111799738,1950-05-24 15:00:00,1950-05-26,1945.6567764282227
1951-02-13,9049.629242888554,1951-02-12 19:00:00,1951-02-13,2190.1040077209473
1951-04-11,1670.0249199439413,1951-04-10 09:00:00,1951-04-11,2436.5341663360596
1951-10-06,1369.33073379423,1951-10-05 13:00:00,1951-10-06,4360.088348388672
1951-10-27,2771.073253214036,1951-10-26 09:00:00,1951-10-27,1773.965835571289
1951-11-06,1641.299929362718,1951-11-05 02:00:00,1951-11-06,1799.6132373809814
1952-03-22,1757.4977145210771,1952-03-21 04:00:00,1952-03-22,4554.995536804199
1952-04-09,7341.093378666312,1952-04-08 22:00:00,1952-04-09,2545.896053314209
1952-04-10,7341.255058302949,1952-04-08 22:00:00,1952-04-10,2545.896053314209
1952-05-17,5304.889198243047,1952-05-16 11:00:00,1952-05-17,5574.345111846924
1952-11-10,2849.708800854636,1952-11-08 21:00:00,1952-11-10,1914.3083095550537
1953-02-20,173.368125044222,1953-02-19 23:00:00,1953-02-20,2337.9735946655273
1953-11-19,1562.6586524858672,1953-11-18 21:00:00,1953-11-19,3158.5183143615723
1954-04-30,7030.040416097551,1954-04-29 21:00:00,1954-04-30,1672.8079319000244
1954-05-02,2085.33296002844,1954-05-01 09:00:00,1954-05-02,3325.9928226470947
1955-02-20,1423.9519051069888,1955-02-18 15:00:00,1955-02-20,1716.5472507476807
1955-04-13,6110.46062133846,1955-04-12 07:00:00,1955-04-13,4333.298206329346
1956-01-29,899.9424220182054,1956-01-29 11:00:00,1956-01-29,2384.582996368408
1956-03-12,686.6435295595479,1956-03-11 23:00:00,1956-03-12,1614.6633625030518
1957-04-08,7587.817731506302,1957-04-07 01:00:00,1957-04-08,2722.334623336792
1958-04-24,981.365663070933,1958-04-24 03:00:00,1958-04-24,1689.3033981323242
1958-05-09,1504.046124514509,1958-05-08 17:00:00,1958-05-09,4883.134841918945
1958-11-18,2553.798030896317,1958-11-17 05:00:00,1958-11-18,2048.8505363464355
1959-01-15,408.1271523050176,1959-01-15 09:00:00,1959-01-15,1968.2159423828125
1959-03-21,560.8366215885476,1959-03-20 03:00:00,1959-03-21,4426.17130279541
1959-03-26,2740.866951312583,1959-03-25 07:00:00,1959-03-26,5290.170192718506
1960-01-15,2172.2682482698647,1960-01-14 10:00:00,1960-01-15,4284.819602966309
1960-02-23,1469.7310734958855,1960-02-22 12:00:00,1960-02-23,1776.801347732544
1960-04-30,1857.038548280531,1960-04-29 09:00:00,1960-04-30,2781.360626220703
1960-05-20,2911.5515478399825,1960-05-19 21:00:00,1960-05-20,2269.9790000915527
1960-11-09,826.3388654759577,1960-11-08 22:00:00,1960-11-09,1630.6147575378418
1961-05-14,4496.907992546606,1961-05-14 01:00:00,1961-05-14,6968.684196472168
1961-09-04,7521.4495302997075,1961-09-03 02:00:00,1961-09-04,2604.456901550293
1961-10-30,2631.341429379259,1961-10-29 20:00:00,1961-10-30,2952.805757522583
1961-11-13,725.5402128037662,1961-11-12 19:00:00,1961-11-13,2091.6903018951416
1962-01-10,1767.4044246676924,1962-01-09 01:00:00,1962-01-10,2549.546003341675
1962-09-20,7888.841468083145,1962-09-19 23:00:00,1962-09-20,1743.2482242584229
1962-11-16,659.199855243703,1962-11-15 19:00:00,1962-11-16,1853.1396389007568
1963-03-05,5102.454966464145,1963-03-04 01:00:00,1963-03-05,3466.1307334899902
1963-05-20,3925.679340994708,1963-05-19 16:00:00,1963-05-20,1814.443826675415
1964-03-20,6120.580764931002,1964-03-19 09:00:00,1964-03-20,1629.1804313659668
1964-05-27,6203.93021723988,1964-05-27 01:00:00,1964-05-27,1982.2524785995483
1966-04-20,9096.782362141914,1966-04-19 10:00:00,1966-04-20,1957.353949546814
1966-10-15,3756.5069864204033,1966-10-14 11:00:00,1966-10-15,3462.8357887268066
1967-05-27,13558.302419787788,1967-05-26 23:00:00,1967-05-27,6340.902328491211
1967-10-30,1464.807266536635,1967-10-29 09:00:00,1967-10-30,1669.9013710021973
1967-11-03,1340.6775792086664,1967-11-02 13:00:00,1967-11-03,1683.0692291259766
1968-04-04,7310.53904902511,1968-04-03 15:00:00,1968-04-04,2611.762285232544
1968-10-17,8396.003707531354,1968-10-16 07:00:00,1968-10-17,2511.1002922058105
1969-03-03,2972.1509468415256,1969-03-02 04:00:00,1969-03-03,2376.426935195923
1969-10-11,2717.3623752840363,1969-10-10 01:00:00,1969-10-11,2093.749523162842
1970-09-26,2365.18570949598,1970-09-25 00:00:00,1970-09-26,2165.3385162353516
1971-03-06,1018.4739854034736,1971-03-05 06:00:00,1971-03-06,1679.620623588562
1972-04-15,1537.127432598203,1972-04-14 16:00:00,1972-04-15,1879.1321516036987
1972-04-27,11936.34637379082,1972-04-26 01:00:00,1972-04-27,4013.272285461426
1973-04-08,2192.154157608442,1973-04-07 13:00:00,1973-04-08,4190.146923065186
1973-12-04,731.7854973643571,1973-12-04 07:00:00,1973-12-04,1679.5909404754639
1973-12-19,3966.36820256994,1973-12-18 17:00:00,1973-12-19,3428.556442260742
1974-03-10,2338.651519390676,1974-03-09 09:00:00,1974-03-10,2472.23162651062
1974-04-04,1355.861609565413,1974-04-03 08:00:00,1974-04-04,3180.954933166504
1975-03-28,6859.018651139574,1975-03-27 10:00:00,1975-03-28,1677.405834197998
1975-04-19,480.8769649785368,1975-04-18 10:00:00,1975-04-19,2079.514503479004
1975-11-19,3353.691334353112,1975-11-19 02:00:00,1975-11-19,6538.050651550293
1976-02-21,833.746927640877,1976-02-20 14:00:00,1976-02-21,1889.162540435791
1976-11-27,4512.333130694922,1976-11-26 19:00:00,1976-11-27,2166.228771209717
1978-12-03,4111.234914840761,1978-12-02 04:00:00,1978-12-03,2115.516185760498
1978-12-07,11036.32599566534,1978-12-05 16:00:00,1978-12-07,1828.210711479187
1979-01-14,3732.156154832264,1979-01-12 21:00:00,1979-01-14,2280.0045013427734
1979-05-31,2909.019429154445,1979-05-30 07:00:00,1979-05-31,4268.773555755615
1980-01-27,2938.756703810828,1980-01-26 08:00:00,1980-01-27,2326.119899749756
1980-03-17,2730.708273296027,1980-03-16 18:00:00,1980-03-17,2088.7908935546875
1980-09-10,4707.131602362412,1980-09-09 13:00:00,1980-09-10,6530.531883239746
1980-11-24,1239.1150636580878,1980-11-24 06:00:00,1980-11-24,3025.137424468994
1981-03-29,1030.168646094903,1981-03-28 09:00:00,1981-03-29,3904.6614170074463
1982-05-06,1528.5775006606864,1982-05-05 17:00:00,1982-05-06,3475.010395050049
1983-03-16,832.570156292614,1983-03-15 17:00:00,1983-03-16,5065.5951499938965
1983-04-02,3227.5529671606087,1983-04-01 06:00:00,1983-04-02,2266.9613361358643
1983-11-09,9409.773638531682,1983-11-08 23:00:00,1983-11-09,2227.764368057251
1983-11-27,5678.670660681398,1983-11-26 17:00:00,1983-11-27,4813.474178314209
1984-03-19,6047.044419866915,1984-03-18 13:00:00,1984-03-19,5558.825492858887
1985-09-29,1928.740477548807,1985-09-28 05:00:00,1985-09-29,1725.0220775604248
1986-04-04,1612.4429343187833,1986-04-03 11:00:00,1986-04-04,6570.311546325684
1986-10-12,6078.806518405992,1986-10-11 12:00:00,1986-10-12,5252.320289611816
1986-11-01,849.0971245153787,1986-10-31 12:00:00,1986-11-01,2060.2307319641113
1986-12-01,221.0072591984085,1986-11-30 12:00:00,1986-12-01,2527.830123901367
1988-03-03,1589.371897932987,1988-03-02 13:00:00,1988-03-03,1881.8669319152832
1988-04-01,1076.9788070204731,1988-03-31 02:00:00,1988-04-01,3995.509147644043
1988-05-03,3304.1729477578683,1988-05-02 05:00:00,1988-05-03,5455.949783325195
1988-09-13,2384.410140524677,1988-09-12 21:00:00,1988-09-13,4371.029376983643
1988-12-15,385.4913569290671,1988-12-14 15:00:00,1988-12-15,1672.8354692459106
1989-03-21,3354.031183566987,1989-03-20 11:00:00,1989-03-21,2376.1050701141357
1989-10-16,3117.2439785647857,1989-10-16 01:00:00,1989-10-16,2088.8538360595703
1990-10-21,713.2372622971628,1990-10-20 12:00:00,1990-10-21,3649.888038635254
1990-12-22,10323.31206563554,1990-12-20 23:00:00,1990-12-22,1903.4147262573242
1991-10-29,23762.68622678727,1991-10-28 19:00:00,1991-10-29,1654.3078422546387
1992-03-10,743.5474134117172,1992-03-09 06:00:00,1992-03-10,4479.907035827637
1993-04-04,1986.4992347850923,1993-04-03 12:00:00,1993-04-04,3693.789482116699
1993-09-14,1087.2841415212847,1993-09-13 06:00:00,1993-09-14,2304.9087524414062
1993-10-30,1170.9253134268845,1993-10-29 08:00:00,1993-10-30,2291.841506958008
1994-01-27,1708.6411697515605,1994-01-26 04:00:00,1994-01-27,3315.697193145752
1995-04-10,1445.8355807810356,1995-04-09 10:00:00,1995-04-10,3163.823127746582
1995-05-18,1967.8263915705293,1995-05-17 10:00:00,1995-05-18,8912.177085876465
1995-09-22,10572.947137097011,1995-09-20 22:00:00,1995-09-22,3753.368854522705
1995-10-24,6759.635377616699,1995-10-23 02:00:00,1995-10-24,2570.1630115509033
1996-03-15,583.7702175327024,1996-03-14 10:00:00,1996-03-15,3348.950147628784
1996-03-25,7867.049934657874,1996-03-24 09:00:00,1996-03-25,1697.9608535766602
1996-04-29,640.5098024542623,1996-04-28 06:00:00,1996-04-29,2400.8140563964844
1997-10-13,13922.643499985434,1997-10-12 10:00:00,1997-10-13,4555.954933166504
1997-10-26,10285.669736021318,1997-10-25 05:00:00,1997-10-26,13198.04573059082
2000-05-01,13318.118643226842,2000-04-30 08:00:00,2000-05-01,4334.194660186768
2001-05-03,4328.927348565456,2001-05-02 15:00:00,2001-05-03,2440.87553024292
2002-10-03,9917.358177642893,2002-10-02 07:00:00,2002-10-03,1727.380871772766
2004-05-14,5507.831101379168,2004-05-13 08:00:00,2004-05-14,2465.515613555908
2004-09-22,5602.058092134646,2004-09-21 08:00:00,2004-09-22,3414.6902561187744
2004-11-02,1329.1820960519278,2004-11-01 09:00:00,2004-11-02,2425.525665283203
2007-10-22,932.2494622801872,2007-10-21 09:00:00,2007-10-22,1737.4534606933594
2009-04-05,2059.9810669524886,2009-04-04 17:00:00,2009-04-05,1921.0844039916992
2009-09-22,2768.639738021889,2009-09-21 18:00:00,2009-09-22,2081.9334983825684
2009-10-22,1619.975692752482,2009-10-20 23:00:00,2009-10-22,6124.1607666015625
2010-03-20,1537.2497588524582,2010-03-19 05:00:00,2010-03-20,1759.2906951904297
2011-01-01,7787.823185099261,2010-12-31 00:00:00,2011-01-01,2267.207384109497
2011-02-09,1707.4269616004042,2011-02-08 09:00:00,2011-02-09,1636.5864276885986
2011-11-03,1454.6895346535418,2011-11-02 06:00:00,2011-11-03,2432.1112632751465
2011-12-20,176.48502093584148,2011-12-19 03:00:00,2011-12-20,1843.7501192092896
2012-04-03,1848.7062027056568,2012-04-02 15:00:00,2012-04-03,2762.784242630005
2012-09-13,3152.495328381473,2012-09-12 09:00:00,2012-09-13,2224.7369289398193
2013-04-10,7532.75198302607,2013-04-09 09:00:00,2013-04-10,2209.7578048706055
2013-04-11,535.7293233561485,2013-04-09 09:00:00,2013-04-11,2209.7578048706055
2013-05-02,5603.498847881703,2013-05-01 09:00:00,2013-05-02,2345.1292514801025
