date,max_value,max_time,file_date,total_precip
1950-03-19,6078.186776218838,1950-03-18 23:00:00,1950-03-19,443.1002140045166
1950-03-27,336.8337414685859,1950-03-26 17:00:00,1950-03-27,801.7346262931824
1950-04-04,2286.66563930192,1950-04-03 22:00:00,1950-04-04,1859.7445487976074
1950-04-30,7103.76458873656,1950-04-28 23:00:00,1950-04-30,631.2183737754822
1951-02-13,9049.629242888554,1951-02-12 19:00:00,1951-02-13,553.8003444671631
1951-04-11,1670.0249199439413,1951-04-10 09:00:00,1951-04-11,1496.0392713546753
1951-04-21,8806.192719460614,1951-04-20 22:00:00,1951-04-21,1186.9040727615356
1951-10-06,1369.33073379423,1951-10-05 13:00:00,1951-10-06,1618.0156469345093
1951-10-22,3166.686185301374,1951-10-21 22:00:00,1951-10-22,1315.7497644424438
1952-01-02,10505.380265313132,1952-01-01 00:00:00,1952-01-02,540.785551071167
1952-03-22,1757.4977145210771,1952-03-21 04:00:00,1952-03-22,528.4383893013
1952-05-17,5304.889198243047,1952-05-16 11:00:00,1952-05-17,2407.6929092407227
1952-09-02,880.0698015357509,1952-09-01 11:00:00,1952-09-02,553.7632703781128
1953-01-16,4933.288066980602,1953-01-15 04:00:00,1953-01-16,695.5541372299194
1953-02-20,173.368125044222,1953-02-19 23:00:00,1953-02-20,1458.5314989089966
1953-12-22,586.9229111033407,1953-12-22 00:00:00,1953-12-22,527.0563364028931
1954-02-20,1636.9124343520168,1954-02-19 16:00:00,1954-02-20,819.4882273674011
1954-03-13,762.5566596071675,1954-03-12 22:00:00,1954-03-13,1179.031252861023
1954-04-30,7030.040416097551,1954-04-29 21:00:00,1954-04-30,467.59700775146484
1954-05-02,2085.33296002844,1954-05-01 09:00:00,1954-05-02,538.5649800300598
1955-04-13,6110.46062133846,1955-04-12 07:00:00,1955-04-13,2394.930839538574
1955-10-24,7089.835782604919,1955-10-23 15:00:00,1955-10-24,1102.3238897323608
1956-01-29,899.9424220182054,1956-01-29 11:00:00,1956-01-29,1011.9969844818115
1956-03-07,1323.389031472132,1956-03-06 20:00:00,1956-03-07,533.6589217185974
1956-03-12,686.6435295595479,1956-03-11 23:00:00,1956-03-12,846.103310585022
1956-04-03,1258.68602900059,1956-04-03 03:00:00,1956-04-03,719.5607423782349
1956-04-29,5633.170494864424,1956-04-28 09:00:00,1956-04-29,807.21515417099
1956-05-14,3052.7156698981785,1956-05-13 21:00:00,1956-05-14,987.4241948127747
1958-04-24,981.365663070933,1958-04-24 03:00:00,1958-04-24,1544.293999671936
1958-05-09,1504.046124514509,1958-05-08 17:00:00,1958-05-09,2014.14155960083
1958-12-05,1269.5855378667,1958-12-04 19:00:00,1958-12-05,517.1977281570435
1959-01-15,408.1271523050176,1959-01-15 09:00:00,1959-01-15,1684.569001197815
1959-03-05,767.5564650212937,1959-03-04 10:00:00,1959-03-05,556.5050840377808
1959-03-15,723.5248195520369,1959-03-14 14:00:00,1959-03-15,463.70723843574524
1959-03-21,560.8366215885476,1959-03-20 03:00:00,1959-03-21,837.2845649719238
1959-03-26,2740.866951312583,1959-03-25 07:00:00,1959-03-26,994.3571090698242
1960-01-15,2172.2682482698647,1960-01-14 10:00:00,1960-01-15,2255.7971477508545
1960-04-30,1857.038548280531,1960-04-29 09:00:00,1960-04-30,1131.1407089233398
1960-05-20,2911.5515478399825,1960-05-19 21:00:00,1960-05-20,1565.7968521118164
1961-05-02,11890.218535062902,1961-05-01 15:00:00,1961-05-02,823.8370418548584
1961-05-14,4496.907992546606,1961-05-14 01:00:00,1961-05-14,4387.500286102295
1961-10-30,2631.341429379259,1961-10-29 20:00:00,1961-10-30,1945.6760883331299
1961-11-13,725.5402128037662,1961-11-12 19:00:00,1961-11-13,1142.937421798706
1962-01-10,1767.4044246676924,1962-01-09 01:00:00,1962-01-10,1952.8837203979492
1962-09-20,7888.841468083145,1962-09-19 23:00:00,1962-09-20,444.195955991745
1963-03-05,5102.454966464145,1963-03-04 01:00:00,1963-03-05,963.9968872070312
1963-05-20,3925.679340994708,1963-05-19 16:00:00,1963-05-20,1445.958137512207
1964-05-27,6203.93021723988,1964-05-27 01:00:00,1964-05-27,798.3694672584534
1965-01-26,607.5469221831142,1965-01-25 17:00:00,1965-01-26,513.8576030731201
1965-03-18,4512.112810149358,1965-03-17 13:00:00,1965-03-18,672.2889542579651
1966-04-20,9096.782362141914,1966-04-19 10:00:00,1966-04-20,1012.2957229614258
1966-10-15,3756.5069864204033,1966-10-14 11:00:00,1966-10-15,1152.6362895965576
1966-11-01,888.7113938178745,1966-10-31 19:00:00,1966-11-01,556.972324848175
1967-01-07,1735.6260025097397,1967-01-06 14:00:00,1967-01-07,498.5138773918152
1967-01-15,370.15277456745787,1967-01-14 17:00:00,1967-01-15,441.93652272224426
1967-03-26,3417.627591206318,1967-03-25 23:00:00,1967-03-26,737.240731716156
1967-05-27,13558.302419787788,1967-05-26 23:00:00,1967-05-27,2945.0297355651855
1967-10-30,1464.807266536635,1967-10-29 09:00:00,1967-10-30,491.13941192626953
1967-11-03,1340.6775792086664,1967-11-02 13:00:00,1967-11-03,576.5156745910645
1968-04-04,7310.53904902511,1968-04-03 15:00:00,1968-04-04,1659.545660018921
1968-10-17,8396.003707531354,1968-10-16 07:00:00,1968-10-17,644.5378065109253
1969-11-14,1785.6011866748806,1969-11-13 16:00:00,1969-11-14,537.4617576599121
1971-03-29,3334.8835804840705,1971-03-29 01:00:00,1971-03-29,591.6367173194885
1971-09-09,3233.061788831419,1971-09-08 06:00:00,1971-09-09,469.02891993522644
1972-04-15,1537.127432598203,1972-04-14 16:00:00,1972-04-15,536.1200571060181
1973-04-08,2192.154157608442,1973-04-07 13:00:00,1973-04-08,1208.9502811431885
1973-12-04,731.7854973643571,1973-12-04 07:00:00,1973-12-04,1665.6255722045898
1973-12-19,3966.36820256994,1973-12-18 17:00:00,1973-12-19,718.4920310974121
1974-04-04,1355.861609565413,1974-04-03 08:00:00,1974-04-04,1468.042254447937
1974-11-24,509.582392085433,1974-11-23 15:00:00,1974-11-24,558.7100982666016
1975-03-28,6859.018651139574,1975-03-27 10:00:00,1975-03-28,960.1379036903381
1975-04-02,5486.814586431122,1975-04-01 07:00:00,1975-04-02,511.41101121902466
1975-04-19,480.8769649785368,1975-04-18 10:00:00,1975-04-19,1279.372215270996
1976-11-27,4512.333130694922,1976-11-26 19:00:00,1976-11-27,917.7475571632385
1979-05-31,2909.019429154445,1979-05-30 07:00:00,1979-05-31,2043.931484222412
1980-01-27,2938.756703810828,1980-01-26 08:00:00,1980-01-27,1676.0787963867188
1980-09-10,4707.131602362412,1980-09-09 13:00:00,1980-09-10,3176.581859588623
1980-11-24,1239.1150636580878,1980-11-24 06:00:00,1980-11-24,560.9329342842102
1982-05-06,1528.5775006606864,1982-05-05 17:00:00,1982-05-06,1976.920485496521
1982-10-20,3761.211741788153,1982-10-19 15:00:00,1982-10-20,608.4489822387695
1983-03-16,832.570156292614,1983-03-15 17:00:00,1983-03-16,1611.3355159759521
1983-04-02,3227.5529671606087,1983-04-01 06:00:00,1983-04-02,1420.1312065124512
1983-11-09,9409.773638531682,1983-11-08 23:00:00,1983-11-09,526.0825753211975
1983-11-27,5678.670660681398,1983-11-26 17:00:00,1983-11-27,988.7809157371521
1984-03-19,6047.044419866915,1984-03-18 13:00:00,1984-03-19,609.3894243240356
1984-05-26,2577.714941872398,1984-05-25 09:00:00,1984-05-26,449.0997791290283
1986-04-04,1612.4429343187833,1986-04-03 11:00:00,1986-04-04,2345.0005054473877
1986-10-10,1826.1785791333111,1986-10-09 14:00:00,1986-10-10,533.7285399436951
1986-10-12,6078.806518405992,1986-10-11 12:00:00,1986-10-12,2920.278310775757
1987-10-15,1643.2157857488246,1987-10-14 12:00:00,1987-10-15,937.8036260604858
1988-03-03,1589.371897932987,1988-03-02 13:00:00,1988-03-03,488.5193705558777
1988-05-03,3304.1729477578683,1988-05-02 05:00:00,1988-05-03,725.6948947906494
1988-09-13,2384.410140524677,1988-09-12 21:00:00,1988-09-13,2136.9171142578125
1988-12-08,1368.8473492417097,1988-12-07 23:00:00,1988-12-08,670.5825328826904
1989-03-21,3354.031183566987,1989-03-20 11:00:00,1989-03-21,1169.4409847259521
1989-05-10,1940.418253697638,1989-05-09 15:00:00,1989-05-10,724.8220443725586
1989-11-02,303.7748016761691,1989-11-01 12:00:00,1989-11-02,733.848512172699
1990-10-21,713.2372622971628,1990-10-20 12:00:00,1990-10-21,1598.2412099838257
1991-10-29,23762.68622678727,1991-10-28 19:00:00,1991-10-29,1330.4400444030762
1991-11-23,412.3239761437894,1991-11-22 07:00:00,1991-11-23,517.8059339523315
1992-03-10,743.5474134117172,1992-03-09 06:00:00,1992-03-10,2371.565103530884
1993-04-04,1986.4992347850923,1993-04-03 12:00:00,1993-04-04,1532.444953918457
1993-10-30,1170.9253134268845,1993-10-29 08:00:00,1993-10-30,1432.7588081359863
