date,max_value,max_time,file_date,total_precip
1950-04-04,2286.66563930192,1950-04-03 22:00:00,1950-04-04,1823.493480682373
1951-02-13,9049.629242888554,1951-02-12 19:00:00,1951-02-13,1555.7396411895752
1951-04-11,1670.0249199439413,1951-04-10 09:00:00,1951-04-11,2396.8353271484375
1951-04-21,8806.192719460614,1951-04-20 22:00:00,1951-04-21,1222.5487232208252
1951-10-06,1369.33073379423,1951-10-05 13:00:00,1951-10-06,3340.2645587921143
1951-10-22,3166.686185301374,1951-10-21 22:00:00,1951-10-22,1255.361795425415
1951-11-06,1641.299929362718,1951-11-05 02:00:00,1951-11-06,1647.6143598556519
1952-03-22,1757.4977145210771,1952-03-21 04:00:00,1952-03-22,3182.072162628174
1952-04-09,7341.093378666312,1952-04-08 22:00:00,1952-04-09,2300.999164581299
1952-04-10,7341.255058302949,1952-04-08 22:00:00,1952-04-10,2300.999164581299
1952-05-17,5304.889198243047,1952-05-16 11:00:00,1952-05-17,4370.86296081543
1952-09-02,880.0698015357509,1952-09-01 11:00:00,1952-09-02,1125.5218982696533
1952-11-10,2849.708800854636,1952-11-08 21:00:00,1952-11-10,1422.073483467102
1953-02-20,173.368125044222,1953-02-19 23:00:00,1953-02-20,1944.456934928894
1953-11-19,1562.6586524858672,1953-11-18 21:00:00,1953-11-19,1666.8888330459595
1954-04-30,7030.040416097551,1954-04-29 21:00:00,1954-04-30,1563.5769367218018
1954-05-02,2085.33296002844,1954-05-01 09:00:00,1954-05-02,2676.8436431884766
1955-04-13,6110.46062133846,1955-04-12 07:00:00,1955-04-13,3462.7723693847656
1955-10-24,7089.835782604919,1955-10-23 15:00:00,1955-10-24,1169.0016984939575
1956-01-29,899.9424220182054,1956-01-29 11:00:00,1956-01-29,2204.068660736084
1956-03-12,686.6435295595479,1956-03-11 23:00:00,1956-03-12,1318.7004327774048
1956-04-03,1258.68602900059,1956-04-03 03:00:00,1956-04-03,1382.858395576477
1956-05-14,3052.7156698981785,1956-05-13 21:00:00,1956-05-14,1125.983476638794
1957-04-08,7587.817731506302,1957-04-07 01:00:00,1957-04-08,1263.442039489746
1958-05-09,1504.046124514509,1958-05-08 17:00:00,1958-05-09,3273.040771484375
1958-11-18,2553.798030896317,1958-11-17 05:00:00,1958-11-18,1579.085350036621
1959-01-15,408.1271523050176,1959-01-15 09:00:00,1959-01-15,1578.632116317749
1959-03-21,560.8366215885476,1959-03-20 03:00:00,1959-03-21,3477.4365425109863
1959-03-26,2740.866951312583,1959-03-25 07:00:00,1959-03-26,3176.9392490386963
1960-01-15,2172.2682482698647,1960-01-14 10:00:00,1960-01-15,4251.162052154541
1960-02-23,1469.7310734958855,1960-02-22 12:00:00,1960-02-23,1446.2039470672607
1960-04-30,1857.038548280531,1960-04-29 09:00:00,1960-04-30,1962.9080295562744
1960-05-20,2911.5515478399825,1960-05-19 21:00:00,1960-05-20,1657.6104164123535
1960-11-09,826.3388654759577,1960-11-08 22:00:00,1960-11-09,1538.1269454956055
1961-05-14,4496.907992546606,1961-05-14 01:00:00,1961-05-14,5619.6770668029785
1961-09-04,7521.4495302997075,1961-09-03 02:00:00,1961-09-04,1710.3973627090454
1961-10-30,2631.341429379259,1961-10-29 20:00:00,1961-10-30,2502.8176307678223
1961-11-13,725.5402128037662,1961-11-12 19:00:00,1961-11-13,1945.1173543930054
1962-01-10,1767.4044246676924,1962-01-09 01:00:00,1962-01-10,1785.0477695465088
1962-11-16,659.199855243703,1962-11-15 19:00:00,1962-11-16,1662.1603965759277
1963-03-05,5102.454966464145,1963-03-04 01:00:00,1963-03-05,2020.0390815734863
1963-05-20,3925.679340994708,1963-05-19 16:00:00,1963-05-20,1474.0846157073975
1963-11-01,1750.7585953295688,1963-10-31 13:00:00,1963-11-01,1530.4985046386719
1964-05-27,6203.93021723988,1964-05-27 01:00:00,1964-05-27,1527.9161930084229
1965-02-24,3969.8665178727056,1965-02-23 04:00:00,1965-02-24,1239.7983074188232
1966-10-15,3756.5069864204033,1966-10-14 11:00:00,1966-10-15,3454.8556804656982
1966-11-01,888.7113938178745,1966-10-31 19:00:00,1966-11-01,1206.1715126037598
1967-05-27,13558.302419787788,1967-05-26 23:00:00,1967-05-27,5818.317413330078
1967-10-30,1464.807266536635,1967-10-29 09:00:00,1967-10-30,1652.8111696243286
1967-11-03,1340.6775792086664,1967-11-02 13:00:00,1967-11-03,1519.911527633667
1968-02-22,14083.828299585866,1968-02-21 01:00:00,1968-02-22,1168.3669090270996
1968-04-04,7310.53904902511,1968-04-03 15:00:00,1968-04-04,2253.0951499938965
1968-10-17,8396.003707531354,1968-10-16 07:00:00,1968-10-17,2329.785108566284
1969-03-03,2972.1509468415256,1969-03-02 04:00:00,1969-03-03,1925.031065940857
1970-09-26,2365.18570949598,1970-09-25 00:00:00,1970-09-26,1632.917046546936
1972-01-04,1150.916290868343,1972-01-03 06:00:00,1972-01-04,1149.7528553009033
1972-04-15,1537.127432598203,1972-04-14 16:00:00,1972-04-15,1172.9011535644531
1972-04-27,11936.34637379082,1972-04-26 01:00:00,1972-04-27,1656.9167375564575
1973-04-08,2192.154157608442,1973-04-07 13:00:00,1973-04-08,3321.132183074951
1973-12-19,3966.36820256994,1973-12-18 17:00:00,1973-12-19,3226.9644737243652
1974-04-04,1355.861609565413,1974-04-03 08:00:00,1974-04-04,2954.280376434326
1974-09-12,6189.050734508169,1974-09-12 01:00:00,1974-09-12,1282.408595085144
1974-09-13,6188.544763392846,1974-09-12 01:00:00,1974-09-13,1282.408595085144
1975-03-28,6859.018651139574,1975-03-27 10:00:00,1975-03-28,1578.4248113632202
1975-04-19,480.8769649785368,1975-04-18 10:00:00,1975-04-19,1992.342472076416
1975-11-19,3353.691334353112,1975-11-19 02:00:00,1975-11-19,3890.5482292175293
1976-02-21,833.746927640877,1976-02-20 14:00:00,1976-02-21,1478.2202243804932
1976-11-27,4512.333130694922,1976-11-26 19:00:00,1976-11-27,1688.436508178711
1978-12-03,4111.234914840761,1978-12-02 04:00:00,1978-12-03,1619.1034317016602
