date,max_value,max_time,file_date,total_precip
1950-11-02,625.7446150350216,1950-11-01 10:00:00,1950-11-02,0.010108575224876404
1951-01-28,2451.09368725824,1951-01-27 05:00:00,1951-01-28,0.534202205017209
1951-03-09,5164.179325376066,1951-03-08 09:00:00,1951-03-09,5.5227819830179214
1951-03-24,2864.8185432426435,1951-03-23 08:00:00,1951-03-24,10.766012594103813
1951-09-13,2792.0830937803366,1951-09-11 12:00:00,1951-09-13,0.0
1951-10-17,3065.628576472162,1951-10-15 14:00:00,1951-10-17,-0.0007203780114650726
1951-10-31,1653.080062192578,1951-10-30 17:00:00,1951-10-31,4.27407817915082
1953-01-28,617.8139436589895,1953-01-28 01:00:00,1953-01-28,17.206719145178795
1953-11-04,1779.426447388352,1953-11-03 08:00:00,1953-11-04,3.4805219620466232
1955-04-04,636.224379959451,1955-04-03 05:00:00,1955-04-04,6.706202868372202
1955-04-28,1729.427257228784,1955-04-27 16:00:00,1955-04-28,21.7836182564497
1956-03-28,1925.9277960322745,1956-03-27 12:00:00,1956-03-28,24.243399500846863
1957-12-11,207.6926369712457,1957-12-11 03:00:00,1957-12-11,0.0672611640766263
1958-10-21,3744.57913677294,1958-10-20 17:00:00,1958-10-21,2.1040462888777256
1958-11-06,1522.7692470171587,1958-11-05 07:00:00,1958-11-06,2.1293580066412687
1958-11-12,792.5760591310298,1958-11-11 14:00:00,1958-11-12,0.049463240429759026
1959-09-10,2815.9901432941388,1959-09-09 13:00:00,1959-09-10,0.19517517648637295
1959-10-27,2986.981185354559,1959-10-26 06:00:00,1959-10-27,2.7253064326941967
1959-11-14,14525.349028749004,1959-11-12 22:00:00,1959-11-14,23.300372064113617
1959-11-17,10817.38328640454,1959-11-16 09:00:00,1959-11-17,2.6685637421905994
1959-12-05,353.9032969157235,1959-12-04 10:00:00,1959-12-05,5.965419113636017
1959-12-09,339.558016086213,1959-12-08 07:00:00,1959-12-09,0.006376998499035835
1960-11-23,370.6987129577057,1960-11-22 00:00:00,1960-11-23,2.5416305288672447
1961-01-25,1614.1379713772396,1961-01-24 10:00:00,1961-01-25,2.366775181144476
1962-02-06,3912.242762294404,1962-02-05 05:00:00,1962-02-06,4.590393044054508
1962-09-05,6611.9419809138535,1962-09-03 16:00:00,1962-09-05,20.02963237464428
1962-12-12,1708.3690533343963,1962-12-12 04:00:00,1962-12-12,1.6875581350177526
1963-01-30,4017.007465848194,1963-01-29 08:00:00,1963-01-30,24.544458836317062
1963-11-29,378.5811342229689,1963-11-28 11:00:00,1963-11-29,0.23531890474259853
